URL,Product_id,BrandName,Category,Individual_category,category_by_Gender,Description,DiscountPrice (in Rs),OriginalPrice (in Rs),Discount Offer,Column2,SizeOption,Ratings,Reviews
https://www.myntra.com/jeans/roadster/roadster-men-navy-blue-slim-fit-mid-rise-clean-look-jeans/2296012/buy,2296012,Roadster,Bottom Wear,jeans,Men,roadster men navy blue slim fit mid rise clean look jeans,824,1499,674.55,824.00,"28, 30, 32, 34, 36",3.9,999
https://www.myntra.com/track-pants/locomotive/locomotive-men-black--white-solid-slim-fit-track-pants/13780156/buy,13780156,LOCOMOTIVE,Bottom Wear,track-pants,Men,locomotive men black  white solid slim fit track pants,517,1149,631.95,517.00,"S, M, L, XL",4,999
https://www.myntra.com/shirts/roadster/roadster-men-navy-white--black-geometric-printed-sustainable-casual-shirt/11895958/buy,11895958,Roadster,Topwear,shirts,Men,roadster men navy white  black geometric printed sustainable casual shirt,629,1399,769.45,629.00,"38, 40, 42, 44, 46, 48",4.3,999
https://www.myntra.com/shapewear/zivame/zivame-women-black-saree-shapewear-zi3023core0nude/4335679/buy,4335679,Zivame,Lingerie & Sleep Wear,shapewear,Women,zivame women black saree shapewear zi3023core0nude,893,1295,401.45,893.00,"S, M, L, XL, XXL",4.2,999
https://www.myntra.com/tshirts/roadster/roadster-women-white-solid-v-neck-pure-cotton-t-shirt/11690882/buy,11690882,Roadster,Western,tshirts,Women,roadster women white solid v neck pure cotton t shirt,,599,209.65,0.00,"XS, S, M, L, XL",4.2,999
https://www.myntra.com/tops/mast--harbour/mast--harbour-women-yellow-solid-tank-top/2490950/buy,2490950,Mast & Harbour,Western,tops,Women,mast  harbour women yellow solid tank top,,599,239.60,0.00,"XS, S, M, L, XL",4.4,999
https://www.myntra.com/trousers/highlander/highlander-men-olive-green-slim-fit-solid-regular-trousers/6744434/buy,6744434,HIGHLANDER,Bottom Wear,trousers,Men,highlander men olive green slim fit solid regular trousers,599,1499,899.40,599.00,"30, 32, 34, 36",3.9,998
https://www.myntra.com/tops/mayra/mayra-pink-embroidered-a-line-pure-cotton-top/8439415/buy,8439415,Mayra,Western,tops,Women,mayra pink embroidered a line pure cotton top,,1395,809.10,0.00,"S, M, L, XL",3.7,998
https://www.myntra.com/tshirts/roadster/roadster-women-pack-of-2-solid-t-shirts/17381394/buy,17381394,Roadster,Western,tshirts,Women,roadster women pack of 2 solid t shirts,,1098,,470.00,"XS, S, M, L, XL",4.3,997
https://www.myntra.com/jeans/herenow/herenow-men-blue-slim-fit-mid-rise-clean-look-ankle-length-stretchable-jeans/2359257/buy,2359257,HERE&NOW,Bottom Wear,jeans,Men,herenow men blue slim fit mid rise clean look ankle length stretchable jeans,,2749,,930.04,"28, 30, 32, 34, 36",3.5,996
https://www.myntra.com/tights/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-rapid-dry-training-tights/7695793/buy,7695793,HRX by Hrithik Roshan,Sports Wear,tights,Men,hrx by hrithik roshan men rapid dry training tights,1214,2699,1484.45,1214.00,"S, M, L, XL, XXL",4.4,996
